arch;seed;val_score;test_score
const,max,leaky_relu,16,128,linear,mean,relu,4;19.0;0.464;0.5429999999999999
const,max,leaky_relu,16,16,gat_sym,sum,relu6,1;123.0;0.6779999999999999;0.6859999999999999
const,max,leaky_relu,16,256,gat,sum,tanh,4;19.0;0.672;0.715
const,max,leaky_relu,16,256,generalized_linear,max,softplus,2;42.0;0.248;0.272
const,max,leaky_relu,16,32,gat,max,sigmoid,2;123.0;0.24;0.282
const,max,leaky_relu,16,4,generalized_linear,mean,sigmoid,4;79.0;0.32;0.3
const,max,leaky_relu,16,64,gat_sym,sum,leaky_relu,1;42.0;0.6579999999999999;0.66
const,max,leaky_relu,16,8,generalized_linear,max,tanh,16;79.0;0.266;0.262
const,max,leaky_relu,16,8,linear,mlp,elu,1;19.0;0.6859999999999999;0.6970000000000001
const,max,leaky_relu,2,128,linear,mean,tanh,16;123.0;0.326;0.298
const,max,leaky_relu,2,16,cos,mean,linear,6;42.0;0.306;0.289
const,max,leaky_relu,2,32,const,sum,linear,1;42.0;0.674;0.688
const,max,leaky_relu,2,32,cos,max,softplus,16;79.0;0.306;0.321
const,max,leaky_relu,2,4,gat,max,softplus,4;10.0;0.2;0.231
const,max,leaky_relu,2,64,gat,sum,tanh,2;19.0;0.7020000000000001;0.691
const,max,leaky_relu,2,8,const,mean,leaky_relu,8;10.0;0.188;0.181
const,max,leaky_relu,4,128,const,mlp,relu6,4;10.0;0.536;0.528
const,max,leaky_relu,4,16,cos,mlp,softplus,16;10.0;0.354;0.34
const,max,leaky_relu,4,16,gat,mlp,leaky_relu,6;19.0;0.498;0.524
const,max,leaky_relu,4,16,gcn,mean,softplus,16;79.0;0.138;0.231
const,max,leaky_relu,4,16,linear,max,sigmoid,1;79.0;0.246;0.258
const,max,leaky_relu,4,256,const,mean,softplus,8;19.0;0.324;0.305
const,max,leaky_relu,4,32,gat,mlp,softplus,6;79.0;0.528;0.496
const,max,leaky_relu,4,32,linear,max,elu,8;42.0;0.568;0.573
const,max,leaky_relu,4,64,gat_sym,mean,relu6,16;79.0;0.434;0.428
const,max,leaky_relu,4,8,gcn,sum,linear,1;42.0;0.664;0.672
const,max,leaky_relu,4,8,generalized_linear,mean,sigmoid,2;123.0;0.268;0.27
const,max,leaky_relu,6,128,generalized_linear,sum,linear,16;10.0;0.6759999999999999;0.654
const,max,leaky_relu,6,16,const,max,relu,4;79.0;0.408;0.43
const,max,leaky_relu,6,16,generalized_linear,max,tanh,2;79.0;0.524;0.537
const,max,leaky_relu,6,4,const,mlp,linear,8;79.0;0.496;0.5489999999999999
const,max,leaky_relu,6,4,const,sum,tanh,1;42.0;0.632;0.644
const,max,leaky_relu,6,64,gat,max,tanh,1;19.0;0.5920000000000001;0.591
const,max,leaky_relu,6,8,const,sum,linear,1;42.0;0.578;0.639
const,max,leaky_relu,8,16,const,mean,relu,6;42.0;0.212;0.231
const,max,leaky_relu,8,16,const,mlp,relu,6;42.0;0.388;0.358
const,max,leaky_relu,8,16,gat,max,relu6,6;10.0;0.342;0.376
const,max,leaky_relu,8,16,gat,mlp,linear,1;42.0;0.66;0.669
const,max,leaky_relu,8,256,const,sum,elu,4;10.0;0.636;0.6609999999999999
const,max,leaky_relu,8,32,cos,sum,tanh,4;79.0;0.694;0.7085
const,max,leaky_relu,8,4,generalized_linear,mlp,linear,16;79.0;0.35600000000000004;0.348
const,max,leaky_relu,8,64,linear,sum,leaky_relu,16;19.0;0.664;0.6709999999999999
const,max,leaky_relu,8,8,linear,sum,elu,16;79.0;0.6559999999999999;0.682
const,max,linear,1,128,gcn,mean,tanh,6;79.0;0.37;0.3825
const,max,linear,1,256,gat_sym,sum,elu,1;10.0;0.642;0.6990000000000001
const,max,linear,1,256,gat_sym,sum,elu,2;42.0;0.624;0.644
const,max,linear,1,256,generalized_linear,mlp,linear,4;123.0;0.42;0.392
const,max,linear,1,256,generalized_linear,sum,relu6,2;19.0;0.648;0.624
const,max,linear,1,32,gat,mean,relu,6;79.0;0.21600000000000005;0.248
const,max,linear,1,32,gcn,mlp,relu6,6;42.0;0.448;0.424
const,max,linear,1,4,cos,mlp,sigmoid,8;79.0;0.262;0.361
const,max,linear,1,4,linear,mlp,relu6,1;19.0;0.284;0.409
const,max,linear,1,64,gcn,mlp,tanh,1;19.0;0.444;0.447
const,max,linear,1,64,generalized_linear,sum,tanh,16;79.0;0.462;0.563
const,max,linear,1,64,linear,sum,tanh,6;42.0;0.562;0.557
const,max,linear,1,8,const,sum,softplus,16;19.0;0.384;0.426
const,max,linear,1,8,gat,max,elu,16;19.0;0.262;0.314
const,max,linear,16,16,gat_sym,mean,elu,1;42.0;0.64;0.635
const,max,linear,16,16,gat_sym,sum,linear,1;42.0;0.636;0.6779999999999999
const,max,linear,16,16,gcn,mlp,relu,16;42.0;0.058;0.077
const,max,linear,16,16,gcn,sum,relu,1;123.0;0.638;0.62
const,max,linear,16,256,const,sum,relu6,16;79.0;0.5760000000000001;0.573
const,max,linear,16,32,gat_sym,max,softplus,8;42.0;0.562;0.5489999999999999
const,max,linear,16,32,gat_sym,sum,leaky_relu,16;19.0;0.6;0.662
const,max,linear,16,4,cos,mlp,softplus,16;10.0;0.594;0.607
const,max,linear,16,64,generalized_linear,sum,linear,8;123.0;0.57;0.624
const,max,linear,16,8,const,sum,elu,1;42.0;0.67;0.684
const,max,linear,16,8,cos,mlp,softplus,4;19.0;0.674;0.6459999999999999
const,max,linear,2,128,cos,mean,relu,1;123.0;0.438;0.465
const,max,linear,2,128,gcn,max,sigmoid,16;19.0;0.332;0.328
const,max,linear,2,128,linear,sum,tanh,2;71.0;0.69;0.6995
const,max,linear,2,16,gat,mean,relu,4;123.0;0.19;0.182
const,max,linear,2,16,gat_sym,mean,sigmoid,8;19.0;0.182;0.206
const,max,linear,2,32,linear,sum,elu,6;79.0;0.64;0.688
const,max,linear,2,64,const,max,tanh,6;123.0;0.406;0.399
const,max,linear,2,64,gat_sym,max,leaky_relu,4;10.0;0.394;0.386
const,max,linear,2,64,linear,sum,linear,6;10.0;0.6;0.616
const,max,linear,2,8,cos,max,elu,4;123.0;0.496;0.479
const,max,linear,2,8,gat_sym,sum,softplus,16;123.0;0.5579999999999999;0.542
const,max,linear,2,8,generalized_linear,max,tanh,4;19.0;0.416;0.435
const,max,linear,4,128,linear,sum,relu,8;10.0;0.662;0.648
const,max,linear,4,16,gat_sym,mlp,tanh,6;19.0;0.472;0.463
const,max,linear,4,16,gat_sym,sum,linear,1;42.0;0.67;0.695
const,max,linear,4,16,generalized_linear,sum,elu,2;10.0;0.604;0.625
const,max,linear,4,256,cos,sum,leaky_relu,8;79.0;0.57;0.625
const,max,linear,4,256,generalized_linear,mean,leaky_relu,8;42.0;0.34;0.349
const,max,linear,4,256,linear,max,relu,1;79.0;0.632;0.61
const,max,linear,4,64,gat_sym,max,softplus,4;79.0;0.498;0.531
const,max,linear,4,64,gcn,max,leaky_relu,16;123.0;0.38;0.374
const,max,linear,4,64,linear,sum,relu,2;19.0;0.494;0.547
const,max,linear,4,64,linear,sum,sigmoid,2;42.0;0.7040000000000001;0.706
const,max,linear,4,8,cos,max,leaky_relu,4;19.0;0.188;0.16899999999999998
const,max,linear,4,8,gat_sym,max,elu,16;123.0;0.268;0.262
const,max,linear,4,8,generalized_linear,max,sigmoid,6;10.0;0.29;0.339
const,max,linear,6,128,cos,sum,linear,16;123.0;0.58;0.626
const,max,linear,6,16,generalized_linear,sum,linear,1;42.0;0.684;0.695
const,max,linear,6,256,gat,mean,relu6,6;19.0;0.614;0.6
const,max,linear,6,256,gat_sym,sum,linear,1;123.0;0.626;0.6779999999999999
const,max,linear,6,256,linear,mean,tanh,2;10.0;0.448;0.411
const,max,linear,6,32,gat,sum,elu,4;19.0;0.624;0.662
const,max,linear,6,32,gat,sum,softplus,8;79.0;0.494;0.514
const,max,linear,6,4,cos,max,tanh,1;123.0;0.62;0.644
const,max,linear,6,4,gat_sym,mlp,sigmoid,4;19.0;0.322;0.336
const,max,linear,6,4,gcn,max,softplus,1;123.0;0.256;0.273
const,max,linear,6,64,const,sum,relu,4;123.0;0.5379999999999999;0.581
const,max,linear,6,64,gat_sym,mean,softplus,1;10.0;0.58;0.6
const,max,linear,6,8,const,max,tanh,8;79.0;0.284;0.3
const,max,linear,6,8,gat_sym,sum,elu,2;123.0;0.648;0.642
const,max,linear,6,8,linear,max,linear,1;10.0;0.644;0.624
const,max,linear,8,128,cos,mean,leaky_relu,4;123.0;0.188;0.16899999999999998
const,max,linear,8,128,linear,max,relu,1;42.0;0.622;0.618
const,max,linear,8,16,gat,mlp,elu,1;123.0;0.612;0.626
const,max,linear,8,256,cos,max,linear,1;79.0;0.648;0.64
const,max,linear,8,256,cos,mean,sigmoid,6;42.0;0.257;0.34450000000000003
const,max,linear,8,256,gat_sym,max,linear,1;10.0;0.624;0.637
const,max,linear,8,256,linear,max,relu6,2;10.0;0.59;0.607
const,max,linear,8,4,linear,mlp,relu6,4;10.0;0.43;0.413
const,max,linear,8,64,gat_sym,sum,softplus,16;79.0;0.546;0.59
const,max,linear,8,64,generalized_linear,max,softplus,8;10.0;0.57;0.602
const,max,linear,8,8,const,sum,linear,16;79.0;0.532;0.569
const,max,linear,8,8,gat,sum,relu,4;79.0;0.642;0.648
const,max,relu,1,128,gat,sum,softplus,2;42.0;0.626;0.642
const,max,relu,1,32,const,mlp,leaky_relu,2;79.0;0.394;0.41
const,max,relu,1,4,gat_sym,sum,tanh,2;123.0;0.504;0.475
const,max,relu,1,4,gcn,sum,tanh,4;10.0;0.138;0.16
const,max,relu,1,64,gcn,sum,linear,2;10.0;0.624;0.65
const,max,relu,1,8,gcn,mean,elu,1;19.0;0.276;0.293
const,max,relu,16,128,const,sum,relu6,16;19.0;0.642;0.65
const,max,relu,16,128,gat,sum,relu,16;10.0;0.644;0.662
const,max,relu,16,128,gat_sym,mean,softplus,8;42.0;0.5820000000000001;0.565
const,max,relu,16,256,const,sum,elu,16;79.0;0.602;0.6205
const,max,relu,16,256,gat_sym,mlp,relu,6;123.0;0.516;0.484
const,max,relu,16,32,gat,max,softplus,4;10.0;0.58;0.597
const,max,relu,16,32,gat_sym,mlp,tanh,2;19.0;0.608;0.6
const,max,relu,16,32,gcn,mean,tanh,6;79.0;0.34;0.337
const,max,relu,16,4,const,mlp,softplus,4;10.0;0.604;0.619
const,max,relu,2,128,cos,max,leaky_relu,6;79.0;0.484;0.469
const,max,relu,2,128,linear,mean,sigmoid,1;123.0;0.324;0.34700000000000003
const,max,relu,2,16,gcn,max,linear,1;79.0;0.262;0.277
const,max,relu,2,256,gat_sym,sum,linear,6;123.0;0.584;0.643
const,max,relu,2,256,generalized_linear,mlp,linear,2;123.0;0.45;0.426
const,max,relu,2,256,linear,mean,relu6,8;10.0;0.172;0.182
const,max,relu,2,32,linear,sum,tanh,1;10.0;0.6859999999999999;0.69
const,max,relu,2,4,gat_sym,mean,relu6,2;42.0;0.224;0.264
const,max,relu,2,4,gcn,mean,tanh,1;79.0;0.334;0.326
const,max,relu,2,4,generalized_linear,sum,relu6,16;123.0;0.414;0.431
const,max,relu,2,64,generalized_linear,sum,leaky_relu,8;123.0;0.546;0.545
const,max,relu,2,8,cos,sum,leaky_relu,8;123.0;0.506;0.527
const,max,relu,4,256,generalized_linear,mlp,softplus,2;19.0;0.5700000000000001;0.5575
const,max,relu,4,32,generalized_linear,max,relu,8;10.0;0.232;0.181
const,max,relu,4,32,linear,max,linear,8;79.0;0.55;0.575
const,max,relu,4,4,cos,max,softplus,8;19.0;0.14400000000000002;0.259
const,max,relu,4,4,cos,mean,tanh,2;79.0;0.3720000000000001;0.475
const,max,relu,4,4,gat,sum,relu,1;19.0;0.502;0.546
const,max,relu,4,64,cos,mlp,linear,6;123.0;0.53;0.523
const,max,relu,4,8,cos,sum,leaky_relu,8;123.0;0.472;0.509
const,max,relu,4,8,gat_sym,mlp,tanh,1;10.0;0.644;0.6609999999999999
const,max,relu,6,128,const,max,leaky_relu,1;123.0;0.48;0.502
const,max,relu,6,128,const,sum,linear,6;42.0;0.632;0.672
const,max,relu,6,16,gcn,sum,linear,1;42.0;0.652;0.6890000000000001
const,max,relu,6,16,generalized_linear,sum,elu,2;10.0;0.644;0.6890000000000001
const,max,relu,6,64,cos,mlp,elu,4;79.0;0.462;0.498
const,max,relu,6,8,generalized_linear,sum,tanh,16;123.0;0.672;0.684
const,max,relu,8,16,const,mlp,relu,2;123.0;0.212;0.231
const,max,relu,8,16,cos,mlp,relu6,4;123.0;0.29600000000000004;0.269
const,max,relu,8,16,generalized_linear,max,softplus,1;123.0;0.53;0.529
const,max,relu,8,16,linear,mean,sigmoid,1;123.0;0.156;0.301
const,max,relu,8,32,gat,sum,relu,4;79.0;0.638;0.642
const,max,relu,8,4,gat_sym,mlp,linear,4;123.0;0.586;0.581
const,max,relu,8,4,linear,sum,linear,1;10.0;0.588;0.601
const,max,relu,8,64,gat,mlp,softplus,4;79.0;0.488;0.4920000000000001
const,max,relu,8,8,gat_sym,sum,elu,1;42.0;0.684;0.716
const,max,relu6,1,128,const,max,softplus,4;79.0;0.402;0.422
const,max,relu6,1,16,generalized_linear,mlp,sigmoid,4;10.0;0.34600000000000003;0.332
const,max,relu6,1,16,generalized_linear,sum,elu,2;10.0;0.584;0.5710000000000001
const,max,relu6,1,256,generalized_linear,sum,elu,1;123.0;0.684;0.7070000000000001
const,max,relu6,1,32,cos,sum,tanh,2;123.0;0.628;0.611
const,max,relu6,1,4,const,sum,linear,4;42.0;0.26;0.274
const,max,relu6,1,64,gat,sum,tanh,2;42.0;0.674;0.693
const,max,relu6,1,64,gat_sym,max,softplus,6;79.0;0.42;0.411
const,max,relu6,1,64,linear,max,tanh,4;10.0;0.322;0.308
const,max,relu6,1,8,const,mean,relu6,16;10.0;0.232;0.181
const,max,relu6,16,256,const,mean,linear,4;79.0;0.522;0.532
const,max,relu6,16,256,gat_sym,mlp,relu,2;10.0;0.51;0.48
const,max,relu6,16,4,gat_sym,mlp,tanh,16;10.0;0.314;0.348
const,max,relu6,16,4,generalized_linear,mlp,tanh,8;42.0;0.63;0.595
const,max,relu6,16,64,cos,sum,tanh,2;10.0;0.6659999999999999;0.73
const,max,relu6,16,64,linear,sum,softplus,2;79.0;0.6759999999999999;0.698
const,max,relu6,16,8,const,max,linear,16;123.0;0.578;0.61
const,max,relu6,16,8,linear,sum,softplus,2;79.0;0.6646666666666666;0.709
const,max,relu6,2,128,const,sum,relu6,1;10.0;0.552;0.584
const,max,relu6,2,128,cos,mean,leaky_relu,2;19.0;0.232;0.182
