sample_size;frac;count;mean;std;min;25%;50%;75%;max
1000;0.01;5.0;-0.07407356152619304;0.012117474504691484;-0.09364481132902186;-0.0775482762851184;-0.06943281280123373;-0.06568112589165218;-0.06406078132393908
1000;0.05;5.0;-0.0291908020428144;0.004347561290687433;-0.03632401585342754;-0.028895772957692495;-0.028362924313388743;-0.02790147176524882;-0.02446982532431441
1000;0.1;5.0;-0.01858860250397505;0.0023831574659511777;-0.021404534669776987;-0.019518558217880677;-0.018859881129813433;-0.018280175270274257;-0.014879863232129892
5000;0.01;5.0;-0.04443311735588879;0.0029550540134886216;-0.04769203121192078;-0.04620793158189801;-0.04543802884417958;-0.04239269000688989;-0.04043490513455569
5000;0.05;5.0;-0.022797320810388662;0.0015943325679731953;-0.02408968654860641;-0.023841047248717245;-0.023395540387274483;-0.022501713454750633;-0.020158616412594532
5000;0.1;5.0;-0.014252534043669074;0.0012949704218060908;-0.015979835376553314;-0.014592813005840671;-0.014275615590191859;-0.014050549932034806;-0.01236385631372472
