arch;seed;val_score;test_score
const,max,elu,8,32,gat_sym,max,elu,4;123.0;0.7120000000000001;0.7190000000000001
const,max,elu,8,32,gcn,sum,tanh,2;19.0;0.792;0.813
const,max,elu,8,4,linear,max,softplus,2;79.0;0.69;0.752
const,max,elu,8,4,linear,sum,tanh,1;123.0;0.7879999999999999;0.82
const,max,elu,8,64,const,sum,linear,4;19.0;0.774;0.78
const,max,elu,8,64,linear,mlp,linear,1;19.0;0.764;0.763
const,max,elu,8,8,cos,sum,relu,16;123.0;0.772;0.8059999999999999
const,max,elu,8,8,linear,sum,linear,1;10.0;0.79;0.8109999999999999
const,max,leaky_relu,1,128,cos,mean,tanh,4;123.0;0.158;0.319
const,max,leaky_relu,1,128,linear,mean,tanh,2;123.0;0.228;0.227
const,max,leaky_relu,1,16,gat_sym,mlp,leaky_relu,8;79.0;0.394;0.418
const,max,leaky_relu,1,16,linear,mean,sigmoid,4;79.0;0.162;0.149
const,max,leaky_relu,1,256,const,max,tanh,4;19.0;0.584;0.69
const,max,leaky_relu,1,256,linear,sum,relu,4;42.0;0.758;0.745
const,max,leaky_relu,1,32,gat_sym,max,elu,1;19.0;0.65;0.647
const,max,leaky_relu,1,4,gat_sym,mlp,linear,2;19.0;0.34600000000000003;0.339
const,max,leaky_relu,1,64,gcn,mlp,relu6,1;79.0;0.206;0.243
const,max,leaky_relu,1,64,generalized_linear,mean,relu,2;10.0;0.5379999999999999;0.57
const,max,leaky_relu,1,8,gcn,mean,relu,4;79.0;0.122;0.13
const,max,leaky_relu,16,128,linear,mean,relu,4;19.0;0.272;0.319
const,max,leaky_relu,16,16,gat_sym,sum,relu6,1;123.0;0.792;0.81
const,max,leaky_relu,16,256,gat,sum,tanh,4;19.0;0.7959999999999999;0.8190000000000001
const,max,leaky_relu,16,32,gat,max,sigmoid,2;123.0;0.156;0.14400000000000002
const,max,leaky_relu,16,32,gat_sym,sum,linear,16;42.0;0.802;0.8140000000000001
const,max,leaky_relu,16,4,const,max,relu6,16;10.0;0.522;0.542
const,max,leaky_relu,16,4,const,sum,linear,6;123.0;0.784;0.8220000000000001
const,max,leaky_relu,16,64,gat_sym,sum,linear,4;42.0;0.802;0.815
const,max,leaky_relu,16,8,cos,sum,tanh,1;10.0;0.784;0.8220000000000001
const,max,leaky_relu,16,8,generalized_linear,max,tanh,16;79.0;0.362;0.376
const,max,leaky_relu,16,8,linear,mlp,elu,1;19.0;0.75;0.797
const,max,leaky_relu,2,128,gcn,mean,relu6,6;42.0;0.3720000000000001;0.384
const,max,leaky_relu,2,128,generalized_linear,max,tanh,1;123.0;0.68;0.691
const,max,leaky_relu,2,128,linear,mean,tanh,16;123.0;0.348;0.359
const,max,leaky_relu,2,128,linear,sum,sigmoid,4;79.0;0.782;0.8059999999999999
const,max,leaky_relu,2,16,const,mean,elu,8;42.0;0.644;0.685
const,max,leaky_relu,2,16,linear,sum,softplus,16;19.0;0.6659999999999999;0.6809999999999999
const,max,leaky_relu,2,256,gcn,max,elu,1;10.0;0.696;0.72
const,max,leaky_relu,2,256,gcn,sum,elu,16;79.0;0.78;0.78
const,max,leaky_relu,2,32,cos,max,softplus,16;79.0;0.162;0.149
const,max,leaky_relu,2,32,cos,mlp,tanh,16;42.0;0.478;0.551
const,max,leaky_relu,2,32,linear,mlp,softplus,2;42.0;0.7240000000000001;0.7240000000000001
const,max,leaky_relu,2,4,generalized_linear,sum,leaky_relu,6;42.0;0.624;0.624
