arch;seed;val_score;test_score
const,max,elu,8,8,cos,sum,relu,16;123.0;0.762;0.7240000000000001
const,max,elu,8,8,gat,sum,sigmoid,16;19.0;0.7859999999999999;0.773
const,max,elu,8,8,gat_sym,sum,elu,4;19.0;0.774;0.753
const,max,elu,8,8,gat_sym,sum,linear,1;123.0;0.78;0.7709999999999999
const,max,elu,8,8,gat_sym,sum,linear,2;123.0;0.7440000000000001;0.736
const,max,elu,8,8,gat_sym,sum,sigmoid,4;19.0;0.8013333333333333;0.7726666666666665
const,max,leaky_relu,1,128,cos,mean,tanh,4;123.0;0.532;0.531
const,max,leaky_relu,1,128,cos,sum,leaky_relu,4;19.0;0.774;0.7509999999999999
const,max,leaky_relu,1,128,gat_sym,max,softplus,16;10.0;0.416;0.413
const,max,leaky_relu,1,128,generalized_linear,max,tanh,2;10.0;0.6459999999999999;0.682
const,max,leaky_relu,1,16,gat_sym,mlp,leaky_relu,8;79.0;0.7859999999999999;0.8
const,max,leaky_relu,1,16,linear,mean,sigmoid,4;79.0;0.402;0.428
const,max,leaky_relu,1,256,linear,sum,relu,4;42.0;0.498;0.517
const,max,leaky_relu,1,32,const,max,leaky_relu,2;10.0;0.68;0.684
const,max,leaky_relu,1,32,const,mean,tanh,16;10.0;0.568;0.5489999999999999
const,max,leaky_relu,1,32,const,mean,tanh,6;10.0;0.643;0.6407499999999999
const,max,leaky_relu,1,4,gat_sym,mlp,linear,2;19.0;0.682;0.688
const,max,leaky_relu,1,64,cos,mlp,leaky_relu,6;10.0;0.388;0.438
const,max,leaky_relu,1,64,generalized_linear,mean,relu,2;10.0;0.416;0.407
const,max,leaky_relu,1,8,const,sum,tanh,8;10.0;0.732;0.73
const,max,leaky_relu,1,8,gcn,sum,linear,2;123.0;0.758;0.755
const,max,leaky_relu,16,128,const,sum,tanh,16;10.0;0.81;0.778
const,max,leaky_relu,16,128,gat_sym,sum,tanh,6;10.0;0.7909999999999999;0.7735000000000001
const,max,leaky_relu,16,128,generalized_linear,max,tanh,2;10.0;0.7645;0.7437499999999999
const,max,leaky_relu,16,128,generalized_linear,sum,tanh,6;10.0;0.7979999999999999;0.767
const,max,leaky_relu,16,128,linear,mean,relu,4;19.0;0.422;0.456
const,max,leaky_relu,16,128,linear,sum,tanh,6;10.0;0.7979999999999999;0.778
const,max,leaky_relu,16,16,gat_sym,sum,relu6,1;123.0;0.782;0.763
const,max,leaky_relu,16,256,const,sum,tanh,2;10.0;0.0;0.0
const,max,leaky_relu,16,256,gat,sum,tanh,4;19.0;0.0;0.0
const,max,leaky_relu,16,256,generalized_linear,sum,tanh,2;10.0;0.0;0.0
const,max,leaky_relu,16,256,generalized_linear,sum,tanh,6;10.0;0.0;0.0
const,max,leaky_relu,16,32,gat,max,sigmoid,2;123.0;0.416;0.412
const,max,leaky_relu,16,32,gcn,sum,elu,4;42.0;0.774;0.755
const,max,leaky_relu,16,64,gat,sum,leaky_relu,2;79.0;0.7759999999999999;0.748
const,max,leaky_relu,16,8,generalized_linear,max,tanh,16;79.0;0.4;0.416
const,max,leaky_relu,16,8,linear,mlp,elu,1;19.0;0.866;0.8740000000000001
const,max,leaky_relu,2,128,generalized_linear,sum,linear,8;79.0;0.754;0.73
const,max,leaky_relu,2,128,linear,mean,tanh,16;123.0;0.388;0.413
const,max,leaky_relu,2,16,const,sum,relu6,16;79.0;0.8059999999999999;0.7709999999999999
const,max,leaky_relu,2,16,gat_sym,sum,relu6,2;42.0;0.768;0.762
const,max,leaky_relu,2,256,generalized_linear,sum,relu6,4;42.0;0.774;0.76
const,max,leaky_relu,2,256,generalized_linear,sum,tanh,6;10.0;0.792;0.7709999999999999
const,max,leaky_relu,2,32,const,sum,linear,8;79.0;0.778;0.76
const,max,leaky_relu,2,32,cos,max,softplus,16;79.0;0.402;0.412
const,max,leaky_relu,2,4,const,sum,elu,4;42.0;0.722;0.733
const,max,leaky_relu,2,4,cos,max,softplus,8;79.0;0.388;0.413
const,max,leaky_relu,2,64,gcn,sum,relu,1;123.0;0.784;0.747
const,max,leaky_relu,2,8,const,mean,leaky_relu,8;10.0;0.388;0.413
const,max,leaky_relu,4,128,gat,sum,linear,8;123.0;0.778;0.745
const,max,leaky_relu,4,128,generalized_linear,sum,softplus,2;42.0;0.7759999999999999;0.753
const,max,leaky_relu,4,16,cos,mlp,softplus,16;10.0;0.614;0.623
const,max,leaky_relu,4,16,gat,mlp,leaky_relu,6;19.0;0.8759999999999999;0.882
const,max,leaky_relu,4,256,const,mean,softplus,8;19.0;0.868;0.882
const,max,leaky_relu,4,256,const,sum,tanh,16;79.0;0.7859999999999999;0.767
const,max,leaky_relu,4,256,const,sum,tanh,4;79.0;0.8029999999999999;0.778
const,max,leaky_relu,4,256,gat,mlp,leaky_relu,6;19.0;0.652;0.647
const,max,leaky_relu,4,32,cos,sum,linear,16;79.0;0.726;0.703
const,max,leaky_relu,4,32,linear,max,elu,8;42.0;0.6920000000000001;0.7090000000000001
const,max,leaky_relu,4,4,cos,max,softplus,8;10.0;0.388;0.413
const,max,leaky_relu,4,4,gat_sym,max,sigmoid,4;42.0;0.394;0.415
const,max,leaky_relu,4,4,generalized_linear,sum,elu,6;19.0;0.792;0.765
const,max,leaky_relu,4,64,cos,sum,leaky_relu,16;10.0;0.7879999999999999;0.753
const,max,leaky_relu,4,64,gat_sym,mean,relu6,16;79.0;0.426;0.45
const,max,leaky_relu,4,64,gcn,sum,elu,4;10.0;0.782;0.742
const,max,leaky_relu,4,64,linear,max,leaky_relu,6;79.0;0.684;0.6779999999999999
const,max,leaky_relu,4,8,const,mlp,elu,1;123.0;0.7759999999999999;0.745
const,max,leaky_relu,4,8,gcn,sum,linear,1;42.0;0.778;0.762
const,max,leaky_relu,4,8,generalized_linear,mean,sigmoid,2;123.0;0.388;0.413
