sample_size;frac;count;mean;std;min;25%;50%;75%;max
1000;0.01;5.0;-0.10971678146414984;0.007911672798177685;-0.11410196820723137;-0.11364221743169103;-0.11326904674273094;-0.11193262877473412;-0.09563804616436178
1000;0.05;5.0;-0.06089419022669792;0.0029781343166453444;-0.06524993547903757;-0.06262747091230061;-0.05951541131726887;-0.05904211371703641;-0.05803601970784614
1000;0.1;5.0;-0.052222189899730265;0.002369972929102196;-0.05583748959048587;-0.05228125982060325;-0.05222907368816679;-0.0515255354338211;-0.049237590965574285
5000;0.01;5.0;-0.08171427318664223;0.003490819304438084;-0.08555912445993794;-0.08430806916016167;-0.082558414055063;-0.07808936590390875;-0.0780563923541398
5000;0.05;5.0;-0.05444130301024428;0.00193336169444419;-0.05617619884983646;-0.05526280714920148;-0.05504595320259323;-0.05457907594828268;-0.05114247990130755
5000;0.1;5.0;-0.04847776498529468;0.0010549283139765198;-0.049733974238873935;-0.049120612671246566;-0.048561219341382494;-0.04798049314603925;-0.046992525528931156
