sample_size;frac;count;mean;std;min;25%;50%;75%;max
1000;0.01;5.0;-0.11164584187742084;0.011376530247031709;-0.1303079376763588;-0.11239875913560124;-0.10962455088770878;-0.10554750512645253;-0.10035045656098279
1000;0.05;5.0;-0.05917362747331787;0.0046428191433546305;-0.06388667679070156;-0.06294357036152695;-0.06022006201572769;-0.0556930018725684;-0.053124826326064745
1000;0.1;5.0;-0.04353056719205755;0.0027507327369682014;-0.047279579548469564;-0.044213222941727415;-0.043732584247435674;-0.04278990351319689;-0.03963754570945821
5000;0.01;5.0;-0.08181416638860048;0.0019335102552453464;-0.08345567295209694;-0.08324189692505277;-0.08286417944481259;-0.08031768028231301;-0.07919140233872712
5000;0.05;5.0;-0.05330957313450988;0.0020700000418260316;-0.055855154935323365;-0.05421979911000405;-0.054125428306384615;-0.05131853604675707;-0.05102894727408033
5000;0.1;5.0;-0.04027127899517272;0.0019391408462267833;-0.04219038927795918;-0.04210327015382745;-0.040459003415201034;-0.03862550008750204;-0.037978232041373905
