sample_size;frac;count;mean;std;min;25%;50%;75%;max
1000;0.01;5.0;-0.11972424768214238;0.013614098618846146;-0.13698575109101424;-0.12959181169707482;-0.11646325604220334;-0.11281861997651468;-0.10276179960390483
1000;0.05;5.0;-0.06585152666391052;0.0030605123107521276;-0.06912971857863492;-0.06862136968638508;-0.06586713458540078;-0.06339600543934909;-0.062243405029782733
1000;0.1;5.0;-0.04891514571931453;0.0026458144983819163;-0.05151257219417718;-0.05134916568579931;-0.04875431880955586;-0.04779188155946884;-0.045167790347571485
5000;0.01;5.0;-0.10312638358190092;0.006262484448650629;-0.11297770580042932;-0.10506954972266672;-0.10154062941797681;-0.09886660471827202;-0.09717742825015974
5000;0.05;5.0;-0.059348667751037934;0.0015564659730192005;-0.06068758044015729;-0.06044685484375101;-0.060089964242421745;-0.05849805654162413;-0.05702088268723551
5000;0.1;5.0;-0.04358270932051658;0.0014363991509611664;-0.045080575396634265;-0.044874010318221774;-0.04369127840153186;-0.04239043857159941;-0.0418772439145956
