sample_size;frac;count;mean;std;min;25%;50%;75%;max
1000;0.01;5.0;-0.07492158367947843;0.016050458748221138;-0.09603421140263255;-0.08101652733231679;-0.07350621308516042;-0.07234428729165576;-0.05170667928562664
1000;0.05;5.0;-0.029914735006995104;0.004772309341777036;-0.03538061663139078;-0.032433101126599584;-0.02980722064313393;-0.029429532971328665;-0.022523203662522556
1000;0.1;5.0;-0.019083031403198197;0.003183105768200021;-0.023619414804407046;-0.020524704407976935;-0.018934319111494735;-0.016823612031532847;-0.015513106660579423
5000;0.01;5.0;-0.0460403802335506;0.002559222711791106;-0.04907214833607049;-0.04804870670860642;-0.04605718327954644;-0.0438177919833988;-0.04320607086013087
5000;0.05;5.0;-0.024440155470408464;0.0018724092813071586;-0.027284267180952393;-0.02532768435059768;-0.023605357921915066;-0.023348280144767336;-0.02263518775380985
5000;0.1;5.0;-0.015950068390775896;0.0014623046508931814;-0.01826400198687006;-0.016532859378329323;-0.015130975729425816;-0.01503416613032027;-0.014788338728934008
