sample_size;frac;count;mean;std;min;25%;50%;75%;max
1000;0.01;5.0;-0.09493132832080198;0.007912688204961755;-0.10538121527595207;-0.09843658096289667;-0.09522021837811318;-0.09151241740715427;-0.08410620957989373
1000;0.05;5.0;-0.055838230156496416;0.003157556182309849;-0.059586157220832076;-0.05733048513234282;-0.05618835790972013;-0.055025307681654395;-0.05106084283793266
1000;0.1;5.0;-0.04624587030131584;0.001525100942721099;-0.04760613852015619;-0.04743712427922964;-0.0468314204468451;-0.045298154338279356;-0.04405651392206894
5000;0.01;5.0;-0.06592424550796754;0.005649252203800683;-0.0724266234472406;-0.06962716534092542;-0.06609198713404879;-0.06372399080555413;-0.05775146081206878
5000;0.05;5.0;-0.047470305643072155;0.000973334943056359;-0.04855914598865396;-0.0481346997029613;-0.04737963953165897;-0.047260408601861176;-0.046017634390225354
5000;0.1;5.0;-0.041946524994402316;0.0010355044034998154;-0.04293977258755649;-0.04269677348908829;-0.04228675794413561;-0.04138055021205006;-0.040428770739181136
